127.0.0.1 - - [14/Apr/2020:08:42:48 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:42:51 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:43:00 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:44:43 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:50:18 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:52:34 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:52:35 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:52:35 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:52:45 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:52:53 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:52:55 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:52:56 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:52:56 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:52:56 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:53:12 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:53:12 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:53:13 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:53:13 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:53:13 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:53:31 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:53:39 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:53:44 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:53:47 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:54:07 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:54:20 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:54:39 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:54:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:59:50 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:59:50 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
