0:0:0:0:0:0:0:1 - - [20/Apr/2020:10:22:29 +0900] "GET /ex0420/ex01.html HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [20/Apr/2020:10:23:00 +0900] "GET /ex0420/ex01.html HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:00:49 +0900] "GET /ex0420/ex02.html HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:01:01 +0900] "GET /ex0420/ex02.html HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:02:32 +0900] "GET /ex0420/ex02.html HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:02:57 +0900] "GET /ex0420/ex02.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:02:57 +0900] "GET /ex0420/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:02:58 +0900] "GET /ex0420/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:03:26 +0900] "GET /ex0420/ex02.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:03:28 +0900] "GET /ex0420/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:03:28 +0900] "GET /ex0420/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:03:28 +0900] "GET /ex0420/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:03:28 +0900] "GET /ex0420/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:03:28 +0900] "GET /ex0420/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:03:29 +0900] "GET /ex0420/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:11:03:29 +0900] "GET /ex0420/ex02.html HTTP/1.1" 304 -
